period,type,label,clicks,impressions,ctr,position,classes,cluster,service,city,suggestedPrimaryRoute,relationStatus,action
28d,query,lackiertechnologien kosten anbieter,0,19,0,11.74,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,büroreinigung in der nähe,0,19,0,28.11,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,professioneller wlan umzugsservice in bayern,0,19,0,57.79,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,putzfirma büro düsseldorf,0,18,0,9.22,POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,wohnung putzen münchen,0,18,0,33.28,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,kompetente büroreiniger in düsseldorf,0,18,0,42.5,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigungsdienste regensburg,0,18,0,43.06,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigung angebot schreiben,0,18,0,48.61,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,bauschlussreinigung düsseldorf,0,17,0,1.82,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,umzugsservice für privat und gewerbliche kunden in kreis traunstein,0,17,0,8.24,POSITION_4_TO_10,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,umzugshelfer für senioren fürth,0,17,0,8.53,POSITION_4_TO_10,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,gebäudereinigung düsseldorf golzheim,0,17,0,12.29,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,desinfektion wohnung düsseldorf,0,17,0,12.76,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,professionelle lagerhallen reinigung in düsseldorf und umkreis,0,17,0,38.18,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,reinigungsfirmen regensburg,0,17,0,50.24,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,umzugsreinigung münchen,0,17,0,56.29,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigung wartung rigole düsseldorf,0,17,0,76.88,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,entrümpelungen flensburg,0,17,0,92.71,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,professioneller reinigungsdienst,0,16,0,2.94,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,umzugshelfer für senioren erlangen,0,16,0,12.69,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,gebäudereinigung düsseldorf pempelfort,0,16,0,31.88,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,düsseldorf reinigungsdienst büro,0,15,0,8.33,POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,desinfektionsreinigung düsseldorf,0,15,0,11.47,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,zuverlässiges reinigungsunternehmen in düsseldorf und umgebung,0,15,0,12.33,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,kosten umzugsreinigung,0,15,0,49.2,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,zuverlässige büroreiniger in düsseldorf,0,15,0,57.73,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,angebote schreiben für treppenhausreinigung,0,15,0,76.53,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,umzug im alter bamberg,0,14,0,7.14,POSITION_4_TO_10,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,gebäudereinigungsfirmen in düsseldorf,0,14,0,7.36,POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,hausreinigung dusseldorf,0,14,0,8.79,POSITION_4_TO_10,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigungsdienst büro düsseldorf,0,14,0,9.79,POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,baustellereinigung düsseldorf,0,14,0,10.64,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,commercial cleaning,0,14,0,12.21,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,reinigungsservice düsseldorf,0,14,0,36.5,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,umzug festpreis ingolstadt,0,14,0,60.86,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,praxisreinigung regensburg,0,14,0,72.86,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigungskraft düsseldorf,0,13,0,3.69,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,putzen düsseldorf,0,13,0,6.69,POSITION_4_TO_10,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigungsmittel düsseldorf,0,13,0,11.23,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,reinigungsprodukte düsseldorf,0,13,0,11.77,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,desinfektion haus düsseldorf,0,13,0,18.31,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,reinigung düsseldorf,0,13,0,28.38,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,gebäudereinigung angebot schreiben,0,13,0,54.46,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,hausauflösung regensburg,0,13,0,81,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,anbieter von fassadenzugang,0,12,0,14.33,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,schaufensterreinigung düsseldorf,0,12,0,20.08,MANUAL_REVIEW,duesseldorf-window-cleaning,fensterreinigung,duesseldorf,/duesseldorf/fensterreinigung,probable,Review /duesseldorf/fensterreinigung manually against the separate query and page aggregates.
28d,query,besenreine übergabe landshut,0,12,0,21.25,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,düsseldorf reinigungsfirma büro,0,12,0,24.67,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,putzdienst düsseldorf,0,12,0,28.17,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigung gewerbeflächen düsseldorf,0,12,0,50.42,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,umzug im alter mittelfranken,0,12,0,67.67,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,grundreinigung regensburg,0,12,0,78.17,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,baugrundreinigung düsseldorf,0,11,0,1.45,PROTECT_WINNER,duesseldorf-deep-cleaning,grundreinigung,duesseldorf,/duesseldorf/grundreinigung,probable,Protect URL and primary signals; use one measured snippet or internal-link improvement.
28d,query,24 stunden reinigung düsseldorf,0,11,0,3.27,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,seniorenumzug erding,0,11,0,4,POSITION_4_TO_10,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,gebäudereinigungen düsseldorf,0,11,0,12.55,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,cleaning service dusseldorf,0,11,0,13.55,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,desinfektion praxis düsseldorf,0,11,0,19,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,desinfektion wohnung nach krankheit düsseldorf,0,11,0,19.09,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,umzüge neutraubling,0,11,0,33.09,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,"bestes umzugsunternehmen in konstanz, regensburg",0,11,0,42.64,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,büro reinigungsfirma düsseldorf,0,11,0,45.09,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,modulreinigung,0,11,0,64.91,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,leerfahrten,0,11,0,65.27,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,umzug flensburg,0,11,0,98.45,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,cleaner dusseldorf,0,10,0,5.9,POSITION_4_TO_10,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,"günstige reinigung von glasoberflächen für privatkunden in düsseldorf und 
umgebung",0,10,0,6.9,POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,reinigung firma in der nähe,0,10,0,14.1,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,professionelle schlussdesinfektion düsseldorf,0,10,0,18.7,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,geruchsneutralisation nach fäkalien düsseldorf,0,10,0,19.2,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,reinigung sanitäranlagen düsseldorf,0,10,0,23,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,putzarbeiten düsseldorf,0,10,0,26.6,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,gewerbeflächen reinigen,0,10,0,31.9,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,umzugsreinigung preise,0,10,0,35.6,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,"professionelle umzüge und entrümpelungen in regensburg, deutschland und 
europaweit",0,9,0,31.22,CANNIBALIZATION_RISK,regensburg-clearance,entruempelung,regensburg,/regensburg/entruempelung,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,regensburg umzug,0,8,0,10.88,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzugsunternehmen regensburg kosten,0,8,0,19.62,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzug planen regensburg,0,8,0,33,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzugshilfe regensburg,0,7,0,1.86,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,professionelle büroreinigung düsseldorf,0,7,0,3.57,CANNIBALIZATION_RISK,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzugsfirma mit aufbauservice regensburg,0,7,0,41,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,büroreinigung reinigungsfirma düsseldorf,0,7,0,50.14,CANNIBALIZATION_RISK,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,wohnungsentrümpelung regensburg,0,7,0,70,CANNIBALIZATION_RISK,regensburg-clearance,entruempelung,regensburg,/regensburg/entruempelung,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzugspreisvergleich regensburg,0,6,0,34.5,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,büroreinigung 40231 düsseldorf,0,5,0,48.2,CANNIBALIZATION_RISK,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,regensburg entrümpelung,0,4,0,81.75,CANNIBALIZATION_RISK,regensburg-clearance,entruempelung,regensburg,/regensburg/entruempelung,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,entrümpelungsfirma regensburg,0,3,0,4.33,CANNIBALIZATION_RISK,regensburg-clearance,entruempelung,regensburg,/regensburg/entruempelung,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzug mit möbelaufbau regensburg,0,3,0,20,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,spezialist für büroreinigung düsseldorf,0,3,0,24.33,CANNIBALIZATION_RISK,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzug mit ab- und aufbau regensburg,0,3,0,55.33,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzugsunternehmen mit aufbauservice regensburg,0,3,0,72,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,duesseldorf büroreinigung,0,2,0,14.5,CANNIBALIZATION_RISK,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzug planen lassen regensburg,0,2,0,21,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzugshelfer regensburg,0,2,0,66.5,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,entrümpelungen regensburg,0,2,0,78.5,CANNIBALIZATION_RISK,regensburg-clearance,entruempelung,regensburg,/regensburg/entruempelung,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzugskartons regensburg,0,1,0,18,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzugsfirma regensburg,0,1,0,73,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,büroumzug regensburg,0,1,0,78,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
